num,freq,baud,location,time,demod,demodrate,inforate,isdiff,isDAOPU,isTDMA,codeType,frameLen,poly,transport
2929,20628.26465,123.144,04B6K2,2016/1/9 9:32,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2930,19483.5045,15.186,04B6K2,2016/1/9 20:36,8PSK,19.38,0,N,N,unknow,unknow,NA,unknow,unknow
2931,11801.14746,434.694,04N2K1,2016/1/5 20:36,QPSK,455.11,682000,N,N,unknow,TPC,NA,"12,9,3,2,0",unknow
2932,19102.37891,125.906,04N2K1,2016/1/2 3:37,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2933,11684.47363,3120.88,04B6K2,2016/1/8 6:06,QPSK,3959.981,0,N,N,unknow,unknow,NA,unknow,unknow
2934,11888.9082,141.56,04N2K1,2016/2/2 12:32,8PSK,145.067,0,N,N,unknow,unknow,NA,unknow,unknow
2935,12030.43799,114.086,04N2K1,2016/1/7 5:18,QPSK,42.666,64000,N,N,unknow,TPC,NA,"12,9,3,2,0",unknow
2936,12140.07764,28867.32,04N2K1,2016/2/2 4:44,8PSK,28800.05,0,N,N,unknow,unknow,NA,unknow,unknow
2937,11607.16289,124.519,04N2K1,2016/1/31 19:22,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2938,20629.3418,72.701,04B6K2,2016/1/9 12:33,BPSK,81.455,40000,Y,N,unknow,NSC,NA,V35,unknow
2939,19453.30273,30.705,04B6K2,2016/1/8 13:49,QPSK,32.379,0,N,N,unknow,unknow,NA,unknow,unknow
2940,12107.96387,757.686,04N2K1,2016/2/2 12:32,QPSK,785.062,1152000,N,N,unknow,TPC,NA,"12,9,3,2,0",unknow
2941,20741.38281,79.504,04B6K2,2016/1/5 6:08,QPSK,85.334,128000,N,N,unknow,unknow,NA,unknow,unknow
2942,20569.4082,260.534,04B6K2,2016/1/8 16:14,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2943,11660.49878,520.483,04B6K2,2016/1/10 1:16,8PSK,585.136,0,unknow,unknow,unknow,TPC,16320,unknow,unknow
2944,20544.27734,88.772,04B6K2,2016/1/9 20:36,QPSK,93.866,140000,N,N,unknow,TPC,NA,IBS,unknow
2945,20653.35059,3712.426,04B6K2,2016/1/8 13:48,QPSK,3999.475,0,N,N,Y,unknow,NA,unknow,unknow
2946,11671.24585,9334.156,04N2K1,2016/1/7 2:16,QPSK,9254.934,0,N,N,unknow,unknow,NA,unknow,unknow
2947,20707.95703,2230.264,04B6K2,2016/1/9 17:13,QPSK,2500.12,NA,unknow,unknow,Y,unknow,NA,unknow,unknow
2948,20628.25098,196.249,04B6K2,2016/1/6 18:11,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2949,11588.48877,347.389,04N2K1,2016/1/29 10:53,QPSK,365.717,640000,N,N,unknow,TPC,NA,V35,unknow
2950,11885.41284,138.626,04N2K1,2016/1/24 14:54,8PSK,145.067,0,N,N,unknow,unknow,NA,unknow,unknow
2951,20627.57324,30.016,04B6K2,2016/1/7 16:51,BPSK,23.272,11000,N,N,unknow,NSC,NA,V35,unknow
2952,20629.3418,80.211,04B6K2,2016/1/1 9:30,BPSK,81.455,40000,Y,N,unknow,NSC,NA,V35,unknow
2953,11798.2146,361.156,04N2K1,2016/1/4 1:07,8PSK,364.084,0,N,N,unknow,unknow,NA,unknow,unknow
2954,20629.35059,44.742,04B6K2,2016/1/7 13:15,BPSK,81.455,40000,Y,N,unknow,NSC,NA,V35,unknow
